OAKB;Khwaja Rawash, Kabul, Afghanistan
KMYR;Myrtle Beach AFB, Myrtle Beach, United States of America
KMYU;Ellis Field, Mekoryuk, United States of America
KMYV;Yuba County, Marysville, United States of America
KMZZ;Marion, Marion, United States of America
KNAB;Albany NAS, Albany, United States of America
KNBG;NAS/Alvin Callendar, New Orleans, United States of America
KNBP;Battery Pk City/N. Cov, New York, United States of America
KNBU;NAS, Glenview, United States of America
KNCO;NAS, Quonset Point, United States of America
KNDP;Ellyson NAS, Pensacola, United States of America
KNDV;USN Heliport, Anacostia, United States of America
KNEA;NAS, Glynco, United States of America
KNEL;Naec, Lakehurst, United States of America
KNEN;Olf Usn, Whitehouse, United States of America
KNES;East 34th St Landing, New York, United States of America
KNEW;Lakefront, New Orleans, United States of America
KNFB;Detroit NAF, Mt Clemens, United States of America
KNFL;NAS, Fallon, United States of America
KNGC;North Rim, Grand Canyon, United States of America
KNGP;NAS, Corpus Christi, United States of America
KNGU;NAS Chambers, Norfolk, United States of America
KNGW;Cabaniss Field, Corpus Christi, United States of America
KNGZ;NAS, Alameda, United States of America
KNHX;Barin Olf Osn, Foley, United States of America
KNHZ;NAS, Brunswick, United States of America
KNIP;Jacksonville NAS, Jacksonville, United States of America
KNIR;Chase Field NAS, Beeville, United States of America
KNJK;NAF, El Centro, United States of America
KNKX;Miramar NAS, San Diego, United States of America
KNLC;NAS/Reeves Feid, Lemoore, United States of America
KNLE;Jerry Tyler Memorial, Niles, United States of America
KNOH;Chicago NAS, Chicago, United States of America
KNPA;Pensacola NAS, Pensacoia, United States of America
KNPT;State, Newport, United States of America
KNQA;NAS, Memphis, United States of America
KNQI;NAS, Kingsville, United States of America
KNQX;NAS, Key West, United States of America
KNRB;Ns, Mayport, United States of America
KNRC;Aux Field, Crows Landing, United States of America
KNRS;NAS, Imperial Beach, United States of America
KNSE;Whiting Field NAS, Milton, United States of America
KNSF;Andrews NAF, Camp Springs, United States of America
KNTD;Point Mugu NAS, Port Hueneme, United States of America
KNTJ;Manti-Ephrairn, Manti, United States of America
KNTU;NAS, Oceana, United States of America
KNUN;Saufley NAS, Pensacola, United States of America
KNUQ;Moffett Field, Mountain View, United States of America
KNUW;Ault Field, Whidbey Island, United States of America
KNWH;Pariin Field, Newport, United States of America
KNWS;Pier 11 Wall St. SPB, New York, United States of America
KNXX;Willow Grove NAS, Willow Grove, United States of America
KNYG;Quantanice NAS, Quantico, United States of America
KNZC;Cecil Field NAS, Jacksonville, United States of America
KNZY;North Island NAS, San Diego, United States of America
KOAJ;Albert J Ellis, Jacksonville, United States of America
KOAK;Oakland Metropolitan Oakland International Airport, Oakland, United States of America
KOAR;Fritzsche AAF, Monterey, United States of America
KOBE;County, Okeechobee, United States of America
KOBK;Sky Harbor, Northbrook, United States of America
KOBT;Oakland/Coliseum Stat, Oakland, United States of America
KOBU;Kolauk/Wien, Kobuk, United States of America
KOCF;Taylor Field, Ocala, United States of America
KOCH;Nacogdoches, Lufkin, United States of America
KOCN;Municipal, Oceanside, United States of America
KOCW;Warren Field, Washington, United States of America
KOEA;Oneal, Vincennes, United States of America
KOEO;Municipal, Osceola, United States of America
KOFK;Stefan Field, Norfolk, United States of America
KOGA;Searle Field, Ogaliala, United States of America
KOGB;Municipal, Orangeburg, United States of America
KOGD;Municipal, Ogden, United States of America
KOHC;AFS, Northeast Cape, United States of America
KOIL;Spiane Memorial, Oil City, United States of America
KOJC;Johnson Executive, Kansas City, United States of America
KOKC;Will Rogers World Airport, Oklahoma City, United States of America
KOKK;Kokorno, Kokorno, United States of America
KOLE;Municipal, Olean, United States of America
KOLF;International, Wolf Point, United States of America
KOLH;Old Harbor SPB, Old Harbor, United States of America
KOLS;International, Nogales, United States of America
KOLV;Olive Branch Arpt, Olive Branch, United States of America
KOLY;Olney-Noble, Olney, United States of America
KOMA;Eppley Airfield, Omaha, United States of America
KOMK;Municipal, Omak, United States of America
KONA;Municipal, Winona, United States of America
KONH;Municipal, Oneonta, United States of America
KONL;Municipal, Oneill, United States of America
KONT;International, Ontario, United States of America
KOOA;Municipal, Oskaloosa, United States of America
KOPF;Opa Locka, Miami, United States of America
KOPL;St Landry Parish, Opeiousas, United States of America
KORD;O'Hare international, Chicago, United States of America
KORF;International, Norfolk, United States of America
KORI;Port Lions SPB, Port Lions, United States of America
KORL;Herndon / Orlando Executive Airport, Orlando, United States of America
KORQ;Heliport, Norwalk, United States of America
KORV;Curtis Memorial, Noorvik, United States of America
KOSC;Wurtsmith AFB, Oscoda, United States of America
KOSH;Wittman Field, Oshkosh, United States of America
KOSU;Ohio State University, Columbus, United States of America
KOSX;Attala County, Kosciusko, United States of America
KOTM;Industrial, Ottumwa, United States of America
KOTN;Green, Oaktown, United States of America
KOTO;Vor, Otto, United States of America
KOUN;Max Westrieimer, Norman, United States of America
KOVE;Municipal Airport, Oroville, United States of America
KOWB;Daviess County, Owensboro, United States of America
KOWD;Memorial, Norwood, United States of America
KOWK;Central Maine, Norridgewock, United States of America
KOXC;Waterbury-Oxford, Oxford, United States of America
KOXD;Miami University, Oxford, United States of America
KOZR;Cairns AAF, Ozark, United States of America
KPAE;Snohomish County, Everett, United States of America
KPAH;Barkley Regional, Paducah, United States of America
KPAK;Port Allen, Hanapepe, United States of America
KPAM;Tyndall AFB, Panama City, United States of America
KPBA;Point Barrow, Barrow, United States of America
KPBF;Grider FieId, Pine Bluff, United States of America
KPBG;AFB, Plattsburgh, United States of America
KPBI;International, West Palm Beach, United States of America
KPCD;Municipal, Prairie Du Chien, United States of America
KPCU;Pearl River County, Picayune, United States of America
KPDK;De Kalb/Peachtree, Atlanta, United States of America
KPDT;Eastern Oregon Regional At Pendleton Airport, Pendleton, United States of America
KPDX;Portland International Airport, Portland, United States of America
KPEC;Pelican SPB, Pelican, United States of America
KPFC;State, Pacific City, United States of America
KPFN;Bay County International Airport, Panama City, United States of America
KPGA;Municipal Airport, Page, United States of America
KPGC;Grant County, Petersburg, United States of America
KPGD;Charlotte County, Punta Gorda, United States of America
KPGL;Jackson County, Paseagoula, United States of America
KPGO;Stevens Field, Pagosa Springs, United States of America
KPGV;Pitt-Greenville, Greenville, United States of America
KPHD;Harry Clever Field, New Philadelphia, United States of America
KPHF;Newport News / Williamsburg, Hampton, United States of America
KPHF;Williamsburg, Newport News, United States of America
KPHK;Palm Beach Co Glades, Pariolkee, United States of America
KPHL;International, Philadelphia, United States of America
KPHN;St. Clair County International, Port Huron, United States of America
KPHT;Henry County, Paris, United States of America
KPHX;Sky Harbor International Airport, Phoenix, United States of America
KPIA;Greater Peoria Regional Airport, Peoria, United States of America
KPIB;Hattiesburg-Laurel Reg, Laurel, United States of America
KPIE;International, St Petersburg, United States of America
KPIE;International, Clearwater, United States of America
KPIH;Pocatello Regional Airport, Pocatello, United States of America
KPII;Phillips Field, Fairbanks, United States of America
KPIM;Garden Harris County, Pine Mountain, United States of America
KPIP;Pilot Point Arpt, Pilot Point, United States of America
KPIR;Pierre Regional Airport, Pierre, United States of America
KPIT;Pittsburgh International Airport, Pittsburgh, United States of America
KPKA;SPB, Napaskiak, United States of America
KPKB;Wood County, Parkersburg, United States of America
KPLB;Clinton County, Plattsburgh, United States of America
KPLK;M Graharn Clark, Branson/Point Lookout, United States of America
KPLN;Emmet County, Peliston, United States of America
KPLR;St Clair County, Pell City, United States of America
KPLY;Plymouth, Plymouth, United States of America
KPMB;Intermediate, Pembina, United States of America
KPMD;Air Force 42, Palmciale, United States of America
KPMH;Regional, Portsmouth, United States of America
KPMI;AFS, Port Moller, United States of America
KPMU;SPB, Paimiut, United States of America
KPMX;Metropolitan, Palmer, United States of America
KPNC;Ponca City Municipal Airport, Ponca City, United States of America
KPNE;North Philadelphia, Philadelphia, United States of America
KPNS;Regional, Pensacola, United States of America
KPNX;Grayson County, Sherman-Denison, United States of America
KPOB;Pope AFB, Fayetteville, United States of America
KPOC;Brackett Field, La Verne, United States of America
KPOE;Polk AAF, Fort Polk, United States of America
KPOF;Earl Fields Memorial, Poplar Bluff, United States of America
KPOH;Municipal, Pocahontas, United States of America
KPOU;Dutchess County, Poughkeepsie, United States of America
KPPA;Perry Lefors Field, Pampa, United States of America
KPPF;Tri-City, Parsons, United States of America
KPQI;Municipal, Presque Isle, United States of America
KPRC;Love Field, Prescott, United States of America
KPRO;Municipal, Perry, United States of America
KPRT;Coast Guard Heliport, Point Retreat, United States of America
KPRX;Cox Field, Paris, United States of America
KPSB;Mid-State, Philipsburg, United States of America
KPSC;Tri-Cities, Pasco, United States of America
KPSF;Pittsfield Municipal Airport, Pittsfield, United States of America
KPSG;Municipal, Petersburg, United States of America
KPSK;New River Valley, Dublin, United States of America
KPSM;Pease AFB, Portsmouth, United States of America
KPSP;Municipal, Palm Springs, United States of America
KPSQ;SPB, Philadelphia, United States of America
KPTB;Municipal, Petersburg, United States of America
KPTN;Municipal Heliport, Morgan City, United States of America
KPTN;Williams Memorial, Patterson, United States of America
KPTS;Municipal, Pittsburg, United States of America
KPTW;Pottstown/Limerick, Pottstown, United States of America
KPUB;Memorial, Puelblo, United States of America
KPUC;Carbon County, Price, United States of America
KPUW;Moscow Regional Airport, Pullman, United States of America
KPUW;Moscow Regional, Pullman, United States of America
KPVD;Theodore Francis, Providence, United States of America
KPVW;Hale County, Plainview, United States of America
KPVZ;Casement, Painesville, United States of America
KPWA;Wiley Post, Oklahoma City, United States of America
KPWD;Sherwood, Plentywood, United States of America
KPWK;Pal-Waukee, Chicago, United States of America
KPWM;Intl Jetport, Portland, United States of America
KPYL;Perry SPB, Perry Island, United States of America
KQAW;Ft Mcclellan Bus Trml, Anniston, United States of America
KQBF;Vail Van Service, Vail/Eagle, United States of America
KQCE;Van Service, Copper Mountain, United States of America
KQDK;Greyhound Bus Service, Chattanooga, United States of America
KQJJ;FlightLink Bus Service, Dalton, United States of America
KQKB;Van Service, Breckenridge, United States of America
KQKS;Van Service, Keystone, United States of America
KQMP;FlightLink Bus Service, Macon, United States of America
KQNY;Marine Air Terminal, New York, United States of America
KQWF;Fort Collins Bus Svce, Fort Collins/Loveland, United States of America
KQWG;Wilgrove Air Park, Charlotte, United States of America
KQWH;Loveland Bus Service, Fort Collins/Loveland, United States of America
KQWM;Longmont Bus Service, Denver, United States of America
KQWP;Van Service, Winter Park, United States of America
KRAC;Horlick, Racine, United States of America
KRAL;Riverside Municipal, Riverside, United States of America
KRAP;Reglonal, Rapid City, United States of America
KRBD;Redbird, Dallas, United States of America
KRBF;Big Bear City Arpt, Big Bear, United States of America
KRBG;Municipal, Roseburg, United States of America
KRBK;French Valley, Rancho, United States of America
KRBL;Red Bluff Fss, Red Bluff, United States of America
KRCA;Elisworth AFB, Rapid City, United States of America
KRCK;Coffield, Rockdale, United States of America
KRCR;Fufton County, Rochester, United States of America
KRCT;Miller Field, Reed City, United States of America
KRDG;Municipa/Spaatz Fld, Reading, United States of America
KRDM;Roberts Field, Redmond, United States of America
KRDR;Grand Forks AFB, Red River, United States of America
KRED;Mifflin County, Reedsville, United States of America
KRED;Mifflin County, Lewiston, United States of America
KREE;Reese AFB, Lubbock, United States of America
KREO;State, Rome, United States of America
KREW;Municipal, WafterborO, United States of America
KRFD;Greater Rocklord, Rockford, United States of America
KRFG;Rooke Field, Refugio, United States of America
KRFK;Rollang Field, Anguilla, United States of America
KRGR;Ranger Municipal, Ranger, United States of America
KRHI;Oneida County, Rhinelander, United States of America
KRHV;Reid-Hiliview, San Jose, United States of America
KRIC;Intl (Byrd Field), Richmond, United States of America
KRID;Richmond, Richmond, United States of America
KRIF;Reynolds, Richfield, United States of America
KRIL;Garfield County, Rifle, United States of America
KRIR;Riverside Fla-Bob, Riverside, United States of America
KRIV;March AFB, Riverside, United States of America
KRKD;Knox County Regional, Rockland, United States of America
KRKP;Aransas County, Rockport, United States of America
KRKR;Robert S Kerr, Poteau, United States of America
KRKS;Sweetwater County, Rock Springs, United States of America
KRKW;Municipal, Rockwood, United States of America
KRLA;National, Rolla, United States of America
KRLI;Reilly AHP, Anniston, United States of America
KRLU;Bornite Upper, Bornite, United States of America
KRMC;Machesney, Rockford, United States of America
KRME;Griffiss AFB, Rome, United States of America
KRMG;Richard B Russell, Rome, United States of America
KRNC;Warren County, Mcminnville, United States of America
KRNE;Renaison, Roanne, United States of America
KRNH;Municipal, New Richmond, United States of America
KRNO;Reno/Tahoe Int'I, Reno, United States of America
KRNZ;Rensselaer, Rensselaer, United States of America
KROA;Municipal, Roanoke, United States of America
KROC;Monroe County, Rochester, United States of America
KROW;Industrial, Roswell, United States of America
KROX;Municipal, Roseau, United States of America
KRRL;Municipal, Merrill, United States of America
KRSH;Russian SPB, Russian Mission, United States of America
KRSJ;Rosario SPB, Rosario, United States of America
KRST;Municipal, Rochester, United States of America
KRSW;Southwest Florida International Airport, Fort Myers, United States of America
KRTN;Crews Field, Raton, United States of America
KRUI;Municipal, Ruidoso, United States of America
KRVS;R.Lloyd Jones, Tuisa, United States of America
KRWF;Redwood Falls Municipal Airport, Redwood Falls, United States of America
KRWI;Rocky Mount-Wilson Aiport, Rocky Mount, United States of America
KRWL;Municipal Airport, Rawlins, United States of America
KRYY;Cobb County Airport, McCollum Field, Atlanta, United States of America
KRZH;Quartz Hill, Lancaster, United States of America
KRZZ;Halifax County Airport, Roanoke Rapids, United States of America
KSAA;Shively, Saratoga, United States of America
KSAC;Sacramento Executive Airport, Sacramento, United States of America
KSAD;Safford Municipal Airport, Safford, United States of America
KSAF;Santa Fe County Municipal Airport, Santa Fe, United States of America
KSAN;San Diego International-Lindbergh Field, San Diego, United States of America
KSAR;Sparta Community, Sparta, United States of America
KSAT;San Antonio International Airport, San Antonio, United States of America
KSAV;Savannah International Airport, Savannah, United States of America
KSBA;Santa Barbara Municipal Airport, Santa Barbara, United States of America
KSBD;Norton AFB, San Bernardino, United States of America
KSBM;Sheboygan County Memorial Airport, Sheboygan, United States of America
KSBN;South Bend Regional Airport, South Bend, United States of America
KSBP;San Luis Obispo County-Mc Chesney Field, San Luis Obispo, United States of America
KSBT;Tri-City, San Bernardino, United States of America
KSBY;Wicomico Regional, Salisbury-Ocean City, United States of America
KSCB;State, Scribner, United States of America
KSCC;Deadhorse Airport, Prudhoe Bay / Deadhorse, United States of America
KSCF;Scottsdale Municipal, Phoenix, United States of America
KSCH;County Airport, Scheneetady, United States of America
KSCK;Stockton Metropolitan Airport, Stockton, United States of America
KSCM;SPB, Scammon Bay, United States of America
KSCR;Municipal, Scranton, United States of America
KSDF;Standiford Field, Louisvilie, United States of America
KSDM;Brown Field Municipal Airport, San Diego, United States of America
KSDP;Municipal, Sand Point, United States of America
KSDY;Richland Municipal, Sidney, United States of America
KSEA;Seattle-Tacoma International Airport, Seattle, United States of America
KSEE;Gillespie Field, San Diego, United States of America
KSEE;Air Terminal, Sebring, United States of America
KSEG;Penn Valley Airport, Selinsgrove, United States of America
KSEM;Craig AFB, Selma, United States of America
KSEP;Clark Field Municipal, Stephenville, United States of America
KSER;Freeman Municipal, Seymour, United States of America
KSES;Selfield, Selma, United States of America
KSFB;Sanford International Airport, Orlando, United States of America
KSFF;Felts Field, Spokane, United States of America
KSFO;San Francisco International Airport, San Francisco, United States of America
KSFZ;North Central, Smithfield, United States of America
KSGF;Springfield-Branson Regional Airport, Springfield, United States of America
KSGH;Municipal Airport, Springfield, United States of America
KSGR;Sugar Land Municipal, Houston, United States of America
KSGU;Municipal, Saint George, United States of America
KSHD;Shenandoah Valley, Staunton, United States of America
KSHN;Sanderson Field, Shelton, United States of America
KSHR;Sheridan County Airport, Sheridan, United States of America
KSHV;Shreveport Regional Airport, Shreveport, United States of America
KSIK;Memorial, Sikeston, United States of America
KSIV;County, Sullivan, United States of America
KSIY;Siskiyou County, Montague, United States of America
KSJC;Municipal, San Jose, United States of America
KSJC;San Jose International Airport, San Jose, United States of America
KSJN;St Johns Municipal, St Johns, United States of America
KSJT;Mathis Fld, San Angelo, United States of America
KSKA;Fairchild AFB, Spokane, United States of America
KSKF;Kelly AFB, San Antonio, United States of America
KSKJ;Sitkinak Cgs, Sitkinak Island, United States of America
KSKW;Intermediate, Skwentna, United States of America
KSKY;Griffing Sandusky, Sandusky, United States of America
KSLB;Municipal, Storm Lake, United States of America
KSLC;Salt Lake City International Airport, Salt Lake City, United States of America
KSLE;Mcnary Field, Salem, United States of America
KSLG;Smith Field, Siloam Springs, United States of America
KSLJ;Stellar Air Park, Chandler, United States of America
KSLK;Adirondack Regional Airport, Saranac Lake, United States of America
KSLN;Salina Municipal Airport, Salina, United States of America
KSLO;Leckrone, Salem, United States of America
KSMD;Smith Field, Fort Wayne, United States of America
KSME;Pulaski County, Somerset, United States of America
KSMF;Sacramento International Airport, Sacramento, United States of America
KSMO;Santa Monica Municipal Airport, Santa Monica, United States of America
KSMX;Santa Maria Public Airport, Santa Maria, United States of America
KSNA;John Wayne Airport-Orange County Airport, Santa Ana, United States of America
KSNK;Winston Field, Snyder, United States of America
KSNL;Municipal, Shawnee, United States of America
KSNS;Salinas Municipal Airport, Salinas, United States of America
KSNY;Sidney Municipal Airport, Sidney, United States of America
KSOP;Pinehurst-S. Pines, Southern Pines, United States of America
KSOW;Show Low Municipal, Show Low, United States of America
KSPA;Downtown Memorial, Spartanburg, United States of America
KSPF;Black Hills, Spearfish / Clyde Ice, United States of America
KSPG;Whitted Airport, St Petersburg, United States of America
KSPI;Capital Airport, Springlield, United States of America
KSPQ;Catalina SPB, San Pedro, United States of America
KSPS;Sheppard AFB, Wichita Fails, United States of America
KSPW;Spencer Municipal Airport, Spencer, United States of America
KSPX;Spaceland, Houston, United States of America
KSPZ;Springdale Municipal, Springdale, United States of America
KSQI;Whiteside County, Sterling Rockfalis, United States of America
KSQL;San Carlos Airport, San Carlos, United States of America
KSQV;Sequirn Valley Arpt, Sequirn, United States of America
KSRF;Hamilton U. S. Army Airfield, San Rafael, United States of America
KSRQ;Sarasota-Bradenton International Airport, Sarasota / Bradenton, United States of America
KSRU;Skypark, Santa Cruz, United States of America
KSRW;Rowan County, Salisbury, United States of America
KSSC;Shaw AFB, Surriter, United States of America
KSSF;Stinson Municipal Airport, San Antonio, United States of America
KSSI;Mckinnon Airport, Brunswick, United States of America
KSSU;Greenbrier, White Sulphur Springs, United States of America
KSTC;St Cloud Municipal Airport, St Cloud, United States of America
KSTJ;Rosecrans Memorial Airport, St Joseph, United States of America
KSTK;Crosson Field, Sterling, United States of America
KSTL;Lambert-St Louis International Airport, St Louis, United States of America
KSTP;St Paul Downtown Holman Field, St Paul, United States of America
KSTS;Sonoma County Airport, Santa Rosa, United States of America
KSUA;Witham Field, Stuart, United States of America
KSUC;Schloredt, Sundance, United States of America
KSUE;Door County, Sturgeon Bay, United States of America
KSUM;Municipal, Surnter, United States of America
KSUN;Sun Valley/Friedman Memorial, Hailey, United States of America
KSUS;Spirit Of St Louis Airport, St Louis, United States of America
KSUU;Travis AFB, Fairfield, United States of America
KSUW;Richard 1 Bong Arpt, Superior, United States of America
KSUX;Sioux Gateway Airport, Sioux City, United States of America
KSVC;Grant County, Silver City, United States of America
KSVE;Municipal, Susanville, United States of America
KSVH;Municipal, Statesville, United States of America
KSVN;Hunter AAF, Savannah, United States of America
KSWD;Seward Airport, Seward, United States of America
KSWF;Stewart, Newburgh/Poughkeepsie, United States of America
KSWO;Searcy Field Municipal Airport, Stillwater, United States of America
KSXC;Avalo Vor/WP, Catalina island, United States of America
KSXP;Sheldon SPB, Sheldon Point, United States of America
KSYI;Bomar Field, Shelbyville, United States of America
KSYL;Roberts AAF, San Miguei, United States of America
KSYN;Carleton, Stanton, United States of America
KSYR;Syracuse Hancock International Airport, Syracuse, United States of America
KSZL;Whiteman AFB, Warrensburg, United States of America
KSZN;Santa Cruz Island, Santa Barbara, United States of America
KTAD;Las Animas, Trinidad, United States of America
KTBN;Forney AAF, Fort Leonard Wood, United States of America
KTBR;Municipal, Statesboro, United States of America
KTCC;Tucumcari Municipal Airport, Tucumcari, United States of America
KTCL;Van De Graal Municipal Airport, Tuscaloosa, United States of America
KTCM;Mc Chord AFB, Tacoma, United States of America
KTCS;Truth Or Consequences Municipal Airport, Truth Or Consequences, United States of America
KTDO;Winlock Memorial, Toledo, United States of America
KTDW;Tradewind, Annarillo, United States of America
KTDZ;tcalf Field, Toledo, United States of America
KTEB;Teterboro Airport, Teterboro, United States of America
KTEX;Regional, Telluride, United States of America
KTGE;Sharpe Field, Tuskegee, United States of America
KTHA;Northern, Tullahoma, United States of America
KTHP;Hot Springs, Thermopolis, United States of America
KTHV;York Airport, York, United States of America
KTIK;Tinker AFB, Oklahoma City, United States of America
KTIW;Tacoma Narrows Airport, Tacoma, United States of America
KTIX;Space Coast Regional Airport, Titusville, United States of America
KTKE;Tenakee SPB, Tenakee Springs, United States of America
KTKL;Taku SPB, Taku Lodge, United States of America
KTLH;Tallahassee Regional Airport, Tallahassee, United States of America
KTMA;Henry Tift Myers, Tifton, United States of America
KTMB;Kendall-Tamiami Executive Airport, Miami, United States of America
KTNT;Dade Collier, Miami, United States of America
KTNU;Municipal, Newton, United States of America
KTOA;Torrance Municipal, Torrance, United States of America
KTOI;Troy Municipal Airport, Troy, United States of America
KTOL;Toledo Express Airport, Toledo, United States of America
KTOP;Philip Billard Municipal Airport, KS, Topeka, United States of America
KTOR;Torrington Municipal Airport, Torrington, United States of America
KTPA;Tampa International Airport, Tampa, United States of America
KTPF;Peter O'Knight, Tampa, United States of America
KTPH;Tonopah Airport, Tonopah, United States of America
KTPL;Draughon-Miller, Temple, United States of America
KTRI;Kingsport / Johnson City / Tri-Cities Regional, Bristol, United States of America
KTRL;Terrell Municipal Airport, Terrell, United States of America
KTRM;Thermal Airport, Palm Springs, United States of America
KTRP;Coast Guard Heliport, Tree Point, United States of America
KTRX;Memorial, Trenton, United States of America
KTSG;Intermediate, Tanacross, United States of America
KTSP;Kern County, Tehachapi, United States of America
KTSS;East 34th St Heliport, New York, United States of America
KTTD;Portland-Troutdale Airport, Portland, United States of America
KTTN;Trenton-Mereer County Airport, Philadelphia, United States of America
KTTO;Municipal, Britton, United States of America
KTUH;Arnold AFS, Tullahoma, United States of America
KTUL;Tulsa International Airport, Tulsa, United States of America
KTUP;Tupelo Municipal-Lemons Airport, Tupelo, United States of America
KTUS;Tucson International Airport, Tucson, United States of America
KTVC;Cherry Capital Airport, Traverse City, United States of America
KTVF;Regional, Thief River Falls, United States of America
KTVI;Municipal, Thornasville, United States of America
KTVL;Lake Tahoe Airport, South Lake Tahoe, United States of America
KTWF;Joslin Field-Magic Valley Regional Airport, Twin Falls, United States of America
KTWH;Two Harbors, Catalina Island, United States of America
KTXK;Texarkana Regional / Municipal Webb Field, Texarkana, United States of America
KTYR;Tyler Pounds Field, Tyler, United States of America
KTYS;Mc Ghee Tyson Airport, Knoxville, United States of America
KUBS;Lowrides County, Columbus, United States of America
KUCA;Oneda County Airport, Utica, United States of America
KUCY;Everett-Stewart, Union City, United States of America
KUDD;Bermuda Dunes, Palm Springs, United States of America
KUGB;Ugashik Bay, Pilot Point, United States of America
KUGN;Waukegan Memorial, Chicago, United States of America
KUIL;Quillayute State Airport, Quillayute, United States of America
KUIN;Municipal, Quincy / Baldwin, United States of America
KUIZ;Berz-Macomb, Utica, United States of America
KUKN;Municipal, Waukon, United States of America
KUKT;Upper Bucks, Quakertown, United States of America
KUMB;North Shore, Umnak Island, United States of America
KUMP;Metro, Indianapolis, United States of America
KUNS;Umnak, Umnak Island, United States of America
KUNU;Dodge County, Juneau, United States of America
KUNV;University Park, State College, United States of America
KUOS;Franklin County, Sewanee, United States of America
KUOX;University-Oxford, Oxford, United States of America
KUTO;Indian Mountain AFS, Utopia Creek, United States of America
KUVA;Garner Fld, Uvaide, United States of America
KVAD;Moody AFB, Valdosta, United States of America
KVBG;Vandenberg AFB, Lompoc, United States of America
KVCT;County-Foster / Victoria Regional Airport, Victoria, United States of America
KVCV;George AFB, Victorville, United States of America
KVDI;Municipal, Vidalia, United States of America
KVDU;Tom O'Connor Oilfield, Refugio, United States of America
KVEL;Vernal Airport, Vernal, United States of America
KVEX;Municipal, Tioga, United States of America
KVGT;North Air Terminal, Las Vegas, United States of America
KVHN;Cullberson County, Van Horn, United States of America
KVIH;Rolla National Airport, Rolla / Vichy, United States of America
KVIK;Airstrip, Kavik, United States of America
KVJI;Virginia Highlands, Abingdon, United States of America
KVKS;Municipal, Vicksburg, United States of America
KVLD;Regional, Valdosta, United States of America
KVLO;Stolport, Vallejo, United States of America
KVNY;Van Nuys, Los Angeles, United States of America
KVOK;Volk Field, Camp Douglas, United States of America
KVPS;Eglin AFB. / Ft. Walton Beach, Valparaiso, United States of America
KVPZ;Porter County Municipal Airport, Valparaiso, United States of America
KVRB;Vero Beach Municipal Airport, Vero Beach, United States of America
KVSF;Hartness State Springfield Airport, Springfield, United States of America
KVTN;Miller Field, Valentine, United States of America
KVYS;Illinois Valley Regional, Peru, United States of America
KWAL;Wallops Flight Center, Chincoteague, United States of America
KWAY;Green County, Waynesburg, United States of America
KWBI;Broker Inn, Boulder, United States of America
KWBN;Cummings Park, Woburn, United States of America
KWBU;Municipal, Boulder, United States of America
KWBW;Wyoming Valle, Wilkes-Barre, United States of America
KWDG;Enid Woodring Municipal, Enid, United States of America
KWDY;Kodiak Fss, Kodiak, United States of America
KWEA;Parker County, Weatherford, United States of America
KWFB;Waterfront SPB, Ketchikan, United States of America
KWGO;Municipal, Winchester, United States of America
KWHD;SPB, Hyder, United States of America
KWHH;Hiltons Har H, Boulder, United States of America
KWHP;Whiteman, Los Angeles, United States of America
KWJF;William J Fox Field, Lancaster, United States of America
KWKL;Waikoloa Airport, Waikoloa, United States of America
KWLD;Arkansas City, Strother Field, Winfield, United States of America
KWLW;Glenn County, Willows, United States of America
KWMC;Winnemucca Municipal Airport, Winnemucca, United States of America
KWMK;SPB, Meyers Chuck, United States of America
KWNA;Napakiak SPB, Napakiak, United States of America
KWNC;Nichen Cove SPB, Tuxekan Island, United States of America
KWPO;North Fork Valley, Paonia, United States of America
KWRB;Warner Robins AFB, Macon, United States of America
KWRG;Wrangell SPB, Wrangell, United States of America
KWRI;Mc Guire AFB, Fort Dix, United States of America
KWRL;Worland Municipal Airport, Worland, United States of America
KWSB;SPB, Steamboat Bay, United States of America
KWSD;Condron AAF, White Sands, United States of America
KWSG;County, Washington, United States of America
KWSH;Brookhaven, Shirley, United States of America
KWSJ;San Juan SPB, San Juan, United States of America
KWST;Westerly State Airport, Westerly, United States of America
KWTC;World Trade Center, New York, United States of America
KWVI;Watsonville Municipal Airport, Watsonvillet, United States of America
KWVL;Robert Lafleur, Waterville, United States of America
KWWD;Cape May County, Wildwood, United States of America
KWWR;West Woodward, Woodward, United States of America
KWWS;USAF Heliport, Wildwood, United States of America
KWYB;SPB, Yes Bay, United States of America
KWYS;Yellowstone, West Yellowstone, United States of America
KXES;Municipal, Lake Geneva, United States of America
KXNA;Northwest Arkansas Region, Fayetteville, United States of America
KYIP;Willow Run, Detroit, United States of America
KYKM;Yakima Air Terminal, Yakima, United States of America
KYKN;Chan Gurney, Yankton, United States of America
KYNG;Youngstown-Warren Regional Airport, Youngstown, United States of America
KYUM;Yuma International, Yuma, United States of America
KZBP;Baltimore Rail, Baltimore, United States of America
KZBV;Beaver Creek Van Svce., Vail/Eagle, United States of America
KZFF;Off-Line Pt (Fedex), Tulsa, United States of America
KZFV;Philadelphia Rail, Philadelphia, United States of America
KZFZ;Buffalo Depew RR, Buffalo, United States of America
KZGD;New London Rail, Groton, United States of America
KZHC;N Philadelphia Rail St, Philadelphia, United States of America
KZLY;Allbany NY Rail, Albany, United States of America
KZME;Metropark Rail, Newark, United States of America
KZRD;Richmond VA Rail, Richmond, United States of America
KZRF;Clock Tower Bus Svc., Rockford, United States of America
